Name,birth_year,death_year,religion_name,ceda_name,person_ceda_first_year,person_ceda_last_year
A Crowley,,,Quaker,APS,1855,1864
A Dale,,,Quaker,APS,1861,1862
Elizabeth S Dawes,,,Quaker,APS,1867,1868
John Dodshon,,,Quaker,APS,1860,1868
Daniel Doncaster,,,Quaker,APS,1866,1868
Elizabeth Dyer,,,Quaker,APS,1860,1868
R Dymond,,,Quaker,APS,1862,1863
William Dyson,,,Quaker,APS,1864,1866
A Ellis,,,Quaker,APS,1860,1863
Thomas Evans,,,Quaker,APS,1860,1866
Ann Everett,,,Quaker,APS,1839,1862
Joseph Farden,,,Quaker,APS,1851,1867
John Fell,,,Quaker,APS,1852,1853
Mary Fell,,,Quaker,APS,1840,1841
S H Fisher,,,Quaker,APS,1855,1856
Caleb Fletcher,,,Quaker,APS,1854,1866
Martha Fletcher,,,Quaker,APS,1854,1856
John Ford,,,Quaker,APS,1854,1858
George Fox,,,Quaker,APS,1862,1868
Henry Fox,,,Quaker,APS,1862,1868
Robert Were Fox,,,Quaker,APS,1838,1868
x Fox,,,Quaker,APS,1861,1862
W Gayner,,,Quaker,APS,1855,1856
Joseph Gibbens,,,Quaker,APS,1860,1865
Ann Gibson,,,Quaker,APS,1860,1866
Francis Gibson,,,Quaker,APS,1840,1862
F  E Gibson,,,Quaker,APS,1860,1862
W G Gibson,,,Quaker,APS,1862,1863
W G Gibson,,,Quaker,HOD,,
T Gill,,,Quaker,APS,1861,1863
J Gillett,,,Quaker,APS,1863,1864
John Gillett,,,Quaker,APS,1860,1864
J Gilpin,,,Quaker,APS,1860,1863
James Gingell,,,Quaker,APS,1860,1863
John Good,,,Quaker,APS,1861,1868
Josiah Grace,,,Quaker,APS,1860,1862
Thomas Graham,,,Quaker,APS,1851,1859
John Green,,,Quaker,APS,1860,1864
T Gregory,,,Quaker,APS,1860,1863
G Grimshaw,,,Quaker,APS,1861,1863
x Hadfield,,,Quaker,APS,1864,1868
x Hadfield,,,Quaker,HOD,,
Isaac Hadwen,,,Quaker,APS,1852,1866
Robert Harding,,,Quaker,APS,1861,1868
Henry Harris,,,Quaker,APS,1861,1868
Lydia Harris,,,Quaker,APS,1840,1863
Thomas Harvey,,,Quaker,APS,1852,1868
Thomas Harvey,,,Quaker,HOD,,
George Head,,,Quaker,APS,1838,1866
Sarah Head,,,Quaker,APS,1859,1868
H Headley,,,Quaker,APS,1860,1861
W Hewitson,,,Quaker,APS,1860,1861
Charles Hicks,,,Quaker,APS,1862,1868
Elizabeth Hills,,,Quaker,APS,1863,1868
James Hills,,,Quaker,APS,1861,1862
John Hills,,,Quaker,APS,1853,1865
Gurney Hoare,,,Quaker,APS,1838,1841
Maria Hooper,,,Quaker,APS,1860,1863
J Hopkins,,,Quaker,APS,1839,1861
Rebecca Hopkins,,,Quaker,APS,1860,1868
Mary Horsnail,,,Quaker,APS,1851,1858
Elizabeth Howard (2),,,Quaker,APS,1860,1868
Elizabeth Howard,,,Quaker,APS,1851,1866
Thomas Hughes,,,Quaker,APS,1867,1868
Thomas Hughes,,,Quaker,HOD,,
Henry Hunt,,,Quaker,APS,1838,1862
T Hunt,,,Quaker,APS,1862,1863
J Hurnard,,,Quaker,APS,1860,1862
John C Isaac,,,Quaker,APS,1855,1868
John James,,,Quaker,APS,1860,1861
Charles Janson,,,Quaker,APS,1861,1867
Samuel Jesper,,,Quaker,APS,1851,1853
Benjamin Jowett (2),,,Quaker,APS,1852,1868
John Jun Jowett,,,Quaker,APS,1851,1852
Robert Jowett (2),,,Quaker,APS,1852,1863
John King,,,Quaker,APS,1860,1863
Samuel King,,,Quaker,APS,1860,1868
Thomas King,,,Quaker,APS,1838,1841
Alfred Kitching,,,Quaker,APS,1860,1867
C Knight,,,Quaker,APS,1839,1840
John Lee,,,Quaker,APS,1851,1866
x Leitch,,,Quaker,APS,1847,1850
Thomas Letchmore,,,Quaker,APS,1860,1861
Thomas x Jun Letchmore,,,Quaker,APS,1860,1861
Thomas Letchworth,,,Quaker,APS,1862,1868
Thomas Jun Letchworth,,,Quaker,APS,1864,1867
Thomas x Jun Letchworth,,,Quaker,APS,1862,1866
S Lloyd,,,Quaker,APS,1865,1866
Edward Lucas,,,Quaker,APS,1852,1868
Rebecca Lucas,,,Quaker,APS,1851,1868
Thomas Marriage,,,Quaker,APS,1861,1863
John Marsh,,,Quaker,APS,1860,1868
R Marsh,,,Quaker,APS,1860,1862
William Matthews,,,Quaker,APS,1862,1867
William Mattravers,,,Quaker,APS,1839,1841
D Miller,,,Quaker,APS,1853,1860
John Morrison,,,Quaker,APS,1839,1852
E Neave,,,Quaker,APS,1861,1862
Mary Overend,,,Quaker,APS,1851,1856
W J Palmer,,,Quaker,APS,1862,1867
J Pears,,,Quaker,APS,1839,1852
Edward Priestman (2),,,Quaker,APS,1866,1867
John Priestman,,,Quaker,APS,1852,1863
James Ransome,,,Quaker,APS,1839,1863
Robert Ransome,,,Quaker,APS,1839,1866
William Rathbone,,,Quaker,APS,1839,1868
J Jun Read,,,Quaker,APS,1839,1841
Edward Richardson,,,Quaker,APS,1839,1862
Henry Richardson,,,Quaker,APS,1860,1868
W Richardson,,,Quaker,APS,1860,1862
R M Rickman,,,Quaker,APS,1862,1863
S Rickman,,,Quaker,APS,1838,1839
S Rickman,,,Quaker,HOD,,
J Rooke,,,Quaker,APS,1860,1861
Alfred Rosling,,,Quaker,APS,1861,1867
John S Rowntree,,,Quaker,APS,1866,1867
Joseph Rowntree,,,Quaker,APS,1851,1856
Samuel Rundall,,,Quaker,APS,1839,1840
Henry Russell,,,Quaker,APS,1851,1854
Joseph Sams,,,Quaker,APS,1838,1856
J A Sanders,,,Quaker,APS,1861,1862
Mary Sansom,,,Quaker,APS,1855,1856
Micheal Scatterthwaite,,,Quaker,APS,1861,1862
S Scatterthwaite,,,Quaker,APS,1861,1863
Benjamin Seebohm,,,Quaker,APS,1865,1867
William Seebohm,,,Quaker,APS,1839,1862
Charles Sessions,,,Quaker,APS,1859,1867
Robert Simpson,,,Quaker,APS,1860,1868
Alfred Smith,,,Quaker,APS,1862,1863
Edward Smith,,,Quaker,APS,1862,1866
Richard Smith,,,Quaker,APS,1857,1868
Richard Smith,,,Quaker,HOD,,
Ann Snowden,,,Quaker,APS,1865,1868
C Southall,,,Quaker,APS,1861,1862
William Southall,,,Quaker,APS,1862,1867
William Sparkes,,,Quaker,APS,1861,1868
Joseph F Spence,,,Quaker,APS,1854,1868
L Squire,,,Quaker,APS,1839,1841
Mary Steevens,,,Quaker,APS,1861,1862
Henry Sterry,,,Quaker,APS,1851,1868
Richard Sterry,,,Quaker,APS,1851,1866
John Stevens,,,Quaker,APS,1839,1841
Joseph Sturge (Mrs),,,Quaker,APS,1838,1867
Sarah Styles,,,Quaker,APS,1866,1867
George N Tatham,,,Quaker,APS,1851,1853
Mary Ann Tatham,,,Quaker,APS,1851,1868
Edward Taylor,,,Quaker,APS,1861,1866
F Taylor,,,Quaker,APS,1861,1862
H Taylor,,,Quaker,APS,1861,1862
A Thistlethwaite,,,Quaker,APS,1860,1861
F J Thompson,,,Quaker,APS,1860,1868
Josiah Thompson,,,Quaker,APS,1861,1863
Thomas Thompson,,,Quaker,APS,1862,1863
W Thompson,,,Quaker,APS,1860,1863
W Thompson,,,Quaker,HOD,,
George Treffry,,,Quaker,APS,1860,1868
Frederick Tuckett,,,Quaker,APS,1851,1855
Frederick Tuckett,,,Quaker,HOD,,
Frederick Tuckett,,,Quaker,HOD,,
W Tuke,,,Quaker,APS,1860,1861
Thomas Turner,,,Quaker,APS,1862,1868
James E Veale,,,Quaker,APS,1851,1868
Jonathan Walker,,,Quaker,APS,1860,1868
Ann Wallis,,,Quaker,APS,1851,1868
John Warner,,,Quaker,APS,1839,1841
Alfred Waterhouse,,,Quaker,APS,1861,1868
Mary Waterhouse,,,Quaker,APS,1852,1853
