Name,birth_year,death_year,religion_name,ceda_name,person_ceda_first_year,person_ceda_last_year
William Nutter,,,Quaker,APS,1860,1867
J J Packer,,,Quaker,APS,1861,1863
George Palmer,,,Quaker,APS,1860,1868
Reuben C Payne,,,Quaker,APS,1860,1868
Arthur Pease,,,Quaker,APS,1861,1867
Edward Pease,,,Quaker,APS,1838,1868
Gurney Pease,,,Quaker,APS,1865,1867
Henry Fell Pease,,,Quaker,APS,1851,1868
John Pease,,,Quaker,APS,1851,1868
John B Pease,,,Quaker,APS,1852,1868
Joseph Pease,,,Quaker,APS,1838,1867
Joseph Pease,,,Quaker,HOD,,
Joseph Whitwell Pease,,,Quaker,APS,1866,1867
Joseph Whitwell Pease,,,Quaker,HOD,,
Susan Pease,,,Quaker,APS,1851,1852
Thomas Pease,,,Quaker,APS,1861,1868
Algernon Peckover,,,Quaker,APS,1851,1868
William Peckover,,,Quaker,APS,1866,1868
Robert H Penney,,,Quaker,APS,1866,1868
Isaac Pitt,,,Quaker,APS,1860,1868
Jacob Post,,,Quaker,APS,1839,1852
Joseph T Price,,,Quaker,APS,1838,1856
Lydia Prideaux,,,Quaker,APS,1860,1868
Samuel Priestman,,,Quaker,APS,1860,1866
John Pryor,,,Quaker,APS,1852,1853
G R Pumphrey,,,Quaker,APS,1862,1863
W P Read,,,Quaker,APS,1862,1863
Isaac Reckitt,,,Quaker,APS,1861,1862
Jonathan Rees,,,Quaker,APS,1851,1855
Jane Reynolds,,,Quaker,APS,1838,1856
G E Richardson,,,Quaker,APS,1860,1861
John Rickman,,,Quaker,APS,1839,1852
Josephina Rickman,,,Quaker,APS,1839,1852
Matilda Rickman,,,Quaker,APS,1851,1852
Priscilla Rickman,,,Quaker,APS,1840,1841
R Rickman,,,Quaker,APS,1838,1864
R P Rickman,,,Quaker,APS,1860,1866
Isaac Robson,,,Quaker,APS,1862,1868
J S Robson,,,Quaker,APS,1861,1868
Joseph Rosling,,,Quaker,APS,1860,1861
Samuel Rosling,,,Quaker,APS,1866,1868
John Rowntree,,,Quaker,APS,1855,1868
W Rowntree,,,Quaker,APS,1860,1861
Sarah Rundell,,,Quaker,APS,1851,1857
John F Rutter,,,Quaker,APS,1863,1868
Samuel Rutter,,,Quaker,APS,1862,1867
E Sayce,,,Quaker,APS,1860,1861
Hannah Scarr,,,Quaker,APS,1861,1867
F Seebohm,,,Quaker,APS,1861,1862
John R Seekings,,,Quaker,APS,1862,1867
James Sessions,,,Quaker,APS,1851,1860
Lydia Sessions,,,Quaker,APS,1865,1866
Robert Sessions,,,Quaker,APS,1861,1868
Abraham Sewell,,,Quaker,APS,1860,1867
E F Sewell,,,Quaker,APS,1860,1861
Joseph Sewell,,,Quaker,APS,1851,1852
Phillip Sewell,,,Quaker,APS,1851,1857
Joseph Sharples,,,Quaker,APS,1838,1868
John T Shewell,,,Quaker,APS,1852,1867
Thomas Short,,,Quaker,APS,1861,1868
W Dillwyn Sims,,,Quaker,APS,1851,1866
W Skinner,,,Quaker,APS,1861,1862
Bartholomew Smith,,,Quaker,APS,1861,1868
George Smithson,,,Quaker,APS,1865,1867
E P Southall,,,Quaker,APS,1838,1839
Sarah Southall,,,Quaker,APS,1864,1868
J M Sparkes,,,Quaker,APS,1861,1867
H Squire,,,Quaker,APS,1860,1861
John Stansfield,,,Quaker,APS,1860,1867
Joseph Sterry,,,Quaker,APS,1851,1868
Sarah Sterry,,,Quaker,APS,1860,1862
J L Stevens,,,Quaker,APS,1860,1866
Charles Sturge,,,Quaker,APS,1860,1863
Edmund Sturge,,,Quaker,APS,1860,1863
George Sturge,,,Quaker,APS,1867,1868
H J Sturge,,,Quaker,APS,1865,1868
Samuel Sturge,,,Quaker,APS,1851,1856
Thomas M Sturge,,,Quaker,APS,1838,1867
Walter Sturge,,,Quaker,APS,1860,1868
Jemima Swan,,,Quaker,APS,1862,1868
William Tanner,,,Quaker,APS,1860,1866
W Tatum,,,Quaker,APS,1860,1863
Edward Thomas,,,Quaker,APS,1851,1855
George Thomas,,,Quaker,APS,1851,1868
Samuel Thompson,,,Quaker,APS,1839,1841
Fielden Thorpe,,,Quaker,APS,1862,1868
E O Tindale,,,Quaker,APS,1860,1861
Robert Tindall,,,Quaker,APS,1839,1840
Joshua Treffry,,,Quaker,APS,1860,1868
Nathaniel Tregellis,,,Quaker,APS,1859,1868
Elizabeth Tuckett,,,Quaker,APS,1840,1841
Francis Tuckett,,,Quaker,APS,1840,1855
P Debell Tuckett,,,Quaker,APS,1839,1867
D Tuke,,,Quaker,APS,1861,1863
J H Tuke,,,Quaker,APS,1862,1863
Samuel Tuke,,,Quaker,APS,1840,1861
Ann Tweedy,,,Quaker,APS,1861,1868
R Tweedy,,,Quaker,APS,1860,1861
William Tweedy,,,Quaker,APS,1838,1855
Richard Veale,,,Quaker,APS,1852,1868
William Veale,,,Quaker,APS,1864,1865
John Wadge,,,Quaker,APS,1838,1839
F J Walker,,,Quaker,APS,1860,1861
Marriage Wallis,,,Quaker,APS,1861,1867
Charles B Warner,,,Quaker,APS,1851,1852
Septimus Warner,,,Quaker,APS,1862,1863
Lucy Westcombe,,,Quaker,APS,1865,1868
Thomas Westcombe,,,Quaker,APS,1860,1868
Benjamin Wheeler,,,Quaker,APS,1851,1857
Frederick Wheeler,,,Quaker,APS,1851,1868
Samuel Wheeler,,,Quaker,APS,1852,1855
John Whiting,,,Quaker,APS,1862,1868
John Wiblin,,,Quaker,APS,1861,1868
Caleb Williams,,,Quaker,APS,1854,1868
John E Wilson,,,Quaker,APS,1860,1868
Joshua Wilson,,,Quaker,APS,1860,1861
F Woodhead,,,Quaker,APS,1861,1863
W Woolston,,,Quaker,APS,1861,1862
Francis Wright,,,Quaker,APS,1838,1839
S W Wright,,,Quaker,APS,1861,1862
